timestamp,num. busy overflows,num. calls answered,num. calls abandoned ,num. calls transferred ,num. calls timed out ,avg. num. agents talking ,avg. num. agents staffed ,avg. wait time ,avg. abandonment time
Apr 21  2017 12:00:00 AM,0,0,0,0,0,0,4,00:00:00,00:00:00
Apr 21  2017 12:15:00 AM,0,0,0,0,0,0,4,00:00:00,00:00:00
Apr 21  2017 12:30:00 AM,0,0,0,0,0,0,4,00:00:00,00:00:00
Apr 21  2017 12:45:00 AM,0,0,0,0,0,0,4,00:00:00,00:00:00
Apr 21  2017 1:00:00 AM,0,0,0,0,0,0,4,00:00:00,00:00:00
Apr 21  2017 1:15:00 AM,0,0,0,0,0,0,4,00:00:00,00:00:00
Apr 21  2017 1:30:00 AM,0,0,0,0,0,0,4,00:00:00,00:00:00
Apr 21  2017 1:45:00 AM,0,0,0,0,0,0,4,00:00:00,00:00:00
Apr 21  2017 2:00:00 AM,0,0,0,0,0,0,4,00:00:00,00:00:00
Apr 21  2017 2:15:00 AM,0,0,0,0,0,0,4,00:00:00,00:00:00
Apr 21  2017 2:30:00 AM,0,0,0,0,0,0,4,00:00:00,00:00:00
Apr 21  2017 2:45:00 AM,0,0,0,0,0,0,4,00:00:00,00:00:00
Apr 21  2017 3:00:00 AM,0,0,0,0,0,0,4,00:00:00,00:00:00
Apr 21  2017 3:15:00 AM,0,0,0,0,0,0,4,00:00:00,00:00:00
Apr 21  2017 3:30:00 AM,0,0,0,0,0,0,4,00:00:00,00:00:00
Apr 21  2017 3:45:00 AM,0,0,0,0,0,0,4,00:00:00,00:00:00
Apr 21  2017 4:00:00 AM,0,0,0,0,0,0,4,00:00:00,00:00:00
Apr 21  2017 4:15:00 AM,0,0,0,0,0,0,4,00:00:00,00:00:00
Apr 21  2017 4:30:00 AM,0,0,0,0,0,0,4,00:00:00,00:00:00
Apr 21  2017 4:45:00 AM,0,0,0,0,0,0,4,00:00:00,00:00:00
Apr 21  2017 5:00:00 AM,0,0,0,0,0,0,4,00:00:00,00:00:00
Apr 21  2017 5:15:00 AM,0,0,0,0,0,0,4,00:00:00,00:00:00
Apr 21  2017 5:30:00 AM,0,0,0,0,0,0,4,00:00:00,00:00:00
Apr 21  2017 5:45:00 AM,0,0,0,0,0,0,4,00:00:00,00:00:00
