timestamp,num. busy overflows,num. calls answered,num. calls abandoned ,num. calls transferred ,num. calls timed out ,avg. num. agents talking ,avg. num. agents staffed ,avg. wait time ,avg. abandonment time
May 2  2017 6:15:00 PM,0,3,0,0,0,0.2,4,00:00:10,00:00:00
May 2  2017 6:30:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
May 2  2017 6:45:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
May 2  2017 7:00:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
May 2  2017 7:15:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
May 2  2017 7:30:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
May 2  2017 7:45:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
May 2  2017 8:00:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
May 2  2017 8:15:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
May 2  2017 8:30:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
May 2  2017 8:45:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
May 2  2017 9:00:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
May 2  2017 9:15:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
May 2  2017 9:30:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
May 2  2017 9:45:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
May 2  2017 10:00:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
May 2  2017 10:15:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
May 2  2017 10:30:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
May 2  2017 10:45:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
May 2  2017 11:00:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
May 2  2017 11:15:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
May 2  2017 11:30:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
May 2  2017 11:45:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
